group_dim,group_value,model_name,split,n_samples,rejection_rate,pr_auc,roc_auc,precision,recall,f1,low_support
task_type,other,model3,val,2,0.5,1.0,1.0,1.0,1.0,1.0,True
task_type,perf,model3,val,15,0.6,0.6243,0.463,0.5714,0.4444,0.5,True
task_type,ci,model3,val,15,0.2,0.4444,0.8056,0.0,0.0,0.0,True
task_type,build,model3,val,29,0.3448,0.4442,0.5605,0.2,0.1,0.1333,True
task_type,feat,model3,val,605,0.3917,0.4274,0.5055,0.3837,0.4177,0.4,False
task_type,refactor,model3,val,104,0.3462,0.3996,0.4773,0.3125,0.2778,0.2941,False
task_type,fix,model3,val,483,0.3168,0.3331,0.5063,0.3333,0.2026,0.252,False
task_type,test,model3,val,84,0.3214,0.3305,0.4825,0.3684,0.2593,0.3043,False
task_type,docs,model3,val,190,0.1947,0.3193,0.6073,0.5,0.1351,0.2128,False
task_type,chore,model3,val,62,0.2419,0.1857,0.3376,0.1667,0.3333,0.2222,False
task_type,revert,model3,val,1,0.0,,,0.0,0.0,0.0,True
task_type,style,model3,val,8,0.0,,,0.0,0.0,0.0,True
task_type,chore,model3,test,36,0.3611,0.5353,0.7023,0.5556,0.3846,0.4545,False
task_type,refactor,model3,test,113,0.3451,0.4977,0.632,0.5278,0.4872,0.5067,False
task_type,feat,model3,test,609,0.4286,0.489,0.5449,0.4588,0.4483,0.4535,False
task_type,build,model3,test,25,0.24,0.4733,0.7018,0.5,0.3333,0.4,True
task_type,style,model3,test,16,0.1875,0.4429,0.7949,0.5,0.3333,0.4,True
task_type,fix,model3,test,501,0.3513,0.3594,0.4969,0.3133,0.1477,0.2008,False
task_type,docs,model3,test,215,0.214,0.2776,0.5826,0.2667,0.087,0.1311,False
task_type,perf,model3,test,12,0.3333,0.2649,0.125,0.0,0.0,0.0,True
task_type,test,model3,test,43,0.2326,0.2422,0.4424,0.25,0.3,0.2727,False
task_type,ci,model3,test,21,0.0476,0.1,0.55,0.0,0.0,0.0,True
task_type,other,model3,test,3,1.0,,,1.0,1.0,1.0,True
task_type,revert,model3,test,3,0.0,,,0.0,0.0,0.0,True
task_type,other,qwen3_standard_llm,val,2,0.5,1.0,1.0,1.0,1.0,1.0,True
task_type,perf,qwen3_standard_llm,val,15,0.6,0.6243,0.463,0.5714,0.4444,0.5,True
task_type,ci,qwen3_standard_llm,val,15,0.2,0.4444,0.8056,0.0,0.0,0.0,True
task_type,build,qwen3_standard_llm,val,29,0.3448,0.4442,0.5605,0.2,0.1,0.1333,True
task_type,feat,qwen3_standard_llm,val,605,0.3917,0.4274,0.5055,0.3837,0.4177,0.4,False
task_type,refactor,qwen3_standard_llm,val,104,0.3462,0.3996,0.4773,0.3125,0.2778,0.2941,False
task_type,fix,qwen3_standard_llm,val,483,0.3168,0.3331,0.5063,0.3333,0.2026,0.252,False
task_type,test,qwen3_standard_llm,val,84,0.3214,0.3305,0.4825,0.3684,0.2593,0.3043,False
task_type,docs,qwen3_standard_llm,val,190,0.1947,0.3193,0.6073,0.5,0.1351,0.2128,False
task_type,chore,qwen3_standard_llm,val,62,0.2419,0.1857,0.3376,0.1667,0.3333,0.2222,False
task_type,revert,qwen3_standard_llm,val,1,0.0,,,0.0,0.0,0.0,True
task_type,style,qwen3_standard_llm,val,8,0.0,,,0.0,0.0,0.0,True
task_type,chore,qwen3_standard_llm,test,36,0.3611,0.5353,0.7023,0.5556,0.3846,0.4545,False
task_type,refactor,qwen3_standard_llm,test,113,0.3451,0.4977,0.632,0.5278,0.4872,0.5067,False
task_type,feat,qwen3_standard_llm,test,609,0.4286,0.489,0.5449,0.4588,0.4483,0.4535,False
task_type,build,qwen3_standard_llm,test,25,0.24,0.4733,0.7018,0.5,0.3333,0.4,True
task_type,style,qwen3_standard_llm,test,16,0.1875,0.4429,0.7949,0.5,0.3333,0.4,True
task_type,fix,qwen3_standard_llm,test,501,0.3513,0.3594,0.4969,0.3133,0.1477,0.2008,False
task_type,docs,qwen3_standard_llm,test,215,0.214,0.2776,0.5826,0.2667,0.087,0.1311,False
task_type,perf,qwen3_standard_llm,test,12,0.3333,0.2649,0.125,0.0,0.0,0.0,True
task_type,test,qwen3_standard_llm,test,43,0.2326,0.2422,0.4424,0.25,0.3,0.2727,False
task_type,ci,qwen3_standard_llm,test,21,0.0476,0.1,0.55,0.0,0.0,0.0,True
task_type,other,qwen3_standard_llm,test,3,1.0,,,1.0,1.0,1.0,True
task_type,revert,qwen3_standard_llm,test,3,0.0,,,0.0,0.0,0.0,True
task_type,other,qwen3_standard_llm,val,2,0.5,1.0,1.0,1.0,1.0,1.0,True
task_type,perf,qwen3_standard_llm,val,15,0.6,0.6243,0.463,0.5714,0.4444,0.5,True
task_type,ci,qwen3_standard_llm,val,15,0.2,0.4444,0.8056,0.0,0.0,0.0,True
task_type,build,qwen3_standard_llm,val,29,0.3448,0.4442,0.5605,0.2,0.1,0.1333,True
task_type,feat,qwen3_standard_llm,val,605,0.3917,0.4274,0.5055,0.3837,0.4177,0.4,False
task_type,refactor,qwen3_standard_llm,val,104,0.3462,0.3996,0.4773,0.3125,0.2778,0.2941,False
task_type,fix,qwen3_standard_llm,val,483,0.3168,0.3331,0.5063,0.3333,0.2026,0.252,False
task_type,test,qwen3_standard_llm,val,84,0.3214,0.3305,0.4825,0.3684,0.2593,0.3043,False
task_type,docs,qwen3_standard_llm,val,190,0.1947,0.3193,0.6073,0.5,0.1351,0.2128,False
task_type,chore,qwen3_standard_llm,val,62,0.2419,0.1857,0.3376,0.1667,0.3333,0.2222,False
task_type,revert,qwen3_standard_llm,val,1,0.0,,,0.0,0.0,0.0,True
task_type,style,qwen3_standard_llm,val,8,0.0,,,0.0,0.0,0.0,True
task_type,chore,qwen3_standard_llm,test,36,0.3611,0.5353,0.7023,0.5556,0.3846,0.4545,False
task_type,refactor,qwen3_standard_llm,test,113,0.3451,0.4977,0.632,0.5278,0.4872,0.5067,False
