group_dim,group_value,model_name,split,n_samples,rejection_rate,pr_auc,roc_auc,precision,recall,f1,low_support
language,Dart,model4,val,2,0.5,1.0,1.0,1.0,1.0,1.0,True
language,PowerShell,model4,val,4,0.75,0.9167,0.6667,0.0,0.0,0.0,True
language,Zig,model4,val,5,0.6,0.8056,0.6667,0.6667,0.6667,0.6667,True
language,Kotlin,model4,val,9,0.7778,0.7546,0.5,0.0,0.0,0.0,True
language,Circom,model4,val,27,0.4074,0.6823,0.7244,0.6364,0.6364,0.6364,True
language,Swift,model4,val,10,0.5,0.6476,0.52,0.5,0.8,0.6154,True
language,PHP,model4,val,8,0.375,0.5873,0.4667,0.25,0.3333,0.2857,True
language,Vue,model4,val,12,0.3333,0.5263,0.5312,0.2857,0.5,0.3636,True
language,Rust,model4,val,100,0.44,0.5132,0.5848,0.5,0.2045,0.2903,False
language,Bicep,model4,val,3,0.3333,0.5,0.5,0.0,0.0,0.0,True
language,Java,model4,val,29,0.3793,0.4996,0.5,0.5,0.1818,0.2667,True
language,C++,model4,val,39,0.3333,0.469,0.5488,0.5,0.3077,0.381,False
language,MoonBit,model4,val,9,0.3333,0.3869,0.4167,0.0,0.0,0.0,True
language,Python,model4,val,267,0.3633,0.3776,0.5268,0.3723,0.3608,0.3665,False
language,TypeScript,model4,val,479,0.3466,0.3733,0.5212,0.3521,0.3012,0.3247,False
language,C#,model4,val,271,0.3284,0.3675,0.5815,0.3953,0.382,0.3886,False
language,C,model4,val,29,0.3793,0.3376,0.3889,0.1667,0.0909,0.1176,True
language,Elixir,model4,val,6,0.1667,0.3333,0.6,0.3333,1.0,0.5,True
language,F#,model4,val,3,0.3333,0.3333,0.0,0.0,0.0,0.0,True
language,Go,model4,val,117,0.2137,0.2877,0.6326,0.2917,0.28,0.2857,False
language,unknown,model4,val,31,0.0645,0.2167,0.6552,0.0,0.0,0.0,False
language,JavaScript,model4,val,70,0.2286,0.1765,0.3281,0.1176,0.25,0.16,False
language,Ruby,model4,val,45,0.0444,0.1536,0.6105,0.0909,0.5,0.1538,False
language,Assembly,model4,val,1,1.0,,,0.0,0.0,0.0,True
language,Clojure,model4,val,1,1.0,,,1.0,1.0,1.0,True
language,CodeQL,model4,val,1,1.0,,,0.0,0.0,0.0,True
language,Dockerfile,model4,val,1,0.0,,,0.0,0.0,0.0,True
language,HTML,model4,val,1,0.0,,,0.0,0.0,0.0,True
language,Julia,model4,val,3,0.0,,,0.0,0.0,0.0,True
language,Jupyter Notebook,model4,val,3,1.0,,,1.0,1.0,1.0,True
language,MATLAB,model4,val,1,0.0,,,0.0,0.0,0.0,True
language,MDX,model4,val,3,0.0,,,0.0,0.0,0.0,True
language,MLIR,model4,val,1,1.0,,,1.0,1.0,1.0,True
language,Shell,model4,val,2,0.0,,,0.0,0.0,0.0,True
