pr_id,label,raw_prediction,rejection_probability,y_pred,reasoning_trace
3208247197,0,accepted,0.1987,0,"Okay, let's analyze this PR to determine if it's likely to be rejected.

First, looking at the title and description: The title is ""EnableWindowDrag support"", which clearly states the feature. The description mentions adding HostWindow drag integration for DocumentTabStrip and includes testing commands. The user provided some test steps, which is good. The description isn't vague, and there's no experimental language. The related issue field is 0, but since it's a feature addition, that might be okay.

Next, the metadata: The language is C#, and the repository has 1204 stars and 124 forks, indicating it's a notable project. The task type is 'feat', which matches the title. The changes include 70 additions and 2 deletions across 3 files. The PR touches tests (Touches tests: True) and includes commits, which is positive. The metadata doesn't flag anything like experimental or empty description. The submission time is during the day, which isn't an issue.

Looking at the diff: The changes are in C# files related to Avalonia UI components. The code adds drag-and-drop functionality for window dragging. The diff shows handling pointer events, integrating HostWindow for dragging, and updating state. The code seems focused on the stated feature. There's no obvious duplication or config-only changes. The diff isn't truncated as far as I can tell, and the additions are substantial but within reason for a feature like this. The tests mentioned in the description include building and testing, which the metadata says touches tests, so that's a good sign.

Possible red flags: The description includes a link to a ChatGPT task, which might indicate the PR was generated by an AI, but the agent is listed as OpenAI_Codex, which is allowed. The testing commands might be incomplete, but the metadata says tests were touched, so maybe they added tests. The code changes seem relevant to the feature. No obvious bugs or anti-patterns spotted in the provided diff snippets. The commit count is 3, which is manageable.

Considering all factors, the description is clear, the changes are focused on the stated feature, tests are mentioned, and metadata doesn't show negative flags. The rejection probability should be low. I don't see major issues here, so probably accepted.
"
3192244623,0,accepted,0.1234,0,"Okay, let's tackle this PR evaluation step by step. The user provided a pull request titled ""docs: update Vitest recommendations"" with several changes. My goal is to determine if this PR is likely to be accepted or rejected based on the given criteria.

First, I'll look at the title and description. The title is clear and indicates it's a documentation update. The description explains that it's addressing GitHub issue #10548, which isn't mentioned in the metadata (related issues: 0), but maybe the issue was closed or not linked properly. The changes mentioned include replacing deprecated terms, introducing a new package for shared config, and updating examples. The testing instructions are to review the documentation changes, which is appropriate for a docs PR.

Next, the metadata shows the task type is ""docs"", which is a good sign. The submission is by Cursor, and the repo has a high number of stars and forks, suggesting it's a significant project. The additions and deletions are reasonable for a documentation change. The metadata mentions touches tests: true, but since it's a docs PR, that might be a minor point. The file entropy is 0, indicating focused changes, which is positive.

Looking at the diff, the main changes are in documentation files, specifically updating Vitest configuration examples. The diff shows replacing ""workspaces"" with ""projects"" terminology, adding a new shared config package, and adjusting examples. The code snippets look well-structured and follow best practices by promoting a shared config package, which reduces duplication and makes maintenance easier. The explanation in the diff includes proper warnings and code examples, which is good for clarity.

Potential issues: The diff mentions creating a new package `@repo/vitest-config`, which is a config package. Since it's a documentation example, this might be acceptable. However, if the repo structure isn't mentioned, it could be confusing. But the documentation is meant to guide, so adding such a package in examples is okay.

The testing instructions are to review the docs, which aligns with a documentation PR. The PR doesn't have related issues, but since it's a docs update, that's acceptable. The metadata shows touches tests as true, but since it's docs, maybe the tests here refer to the example code snippets, which are part of the docs.

The rejection signals: The PR seems to have a clear description, addresses an issue (even if not linked), and the diff is focused on docs. The only possible negative is maybe the addition of a new package in the examples, but that's part of the recommended setup. The PR's changes are well-explained and the code examples look correct.

Given all this, the PR is likely to be accepted. The changes are documentation-focused, clear, and address an issue by updating terminology and providing better practices. No major red flags like vague descriptions, experimental flags, or test issues here.
"
3196981192,0,accepted,0.0987,0,"Okay, let me start by looking at the provided information for this PR evaluation. The user has given a detailed PR with several components: title and description, metadata, and diff text. My task is to determine the rejection probability and predict whether it will be accepted or rejected based on the guidelines provided.

First, I'll go through the title and description. The title is ""Add URL depth validation to crawl requests (ENG-2617)"". The description is quite thorough. It mentions adding validation to prevent crawls starting with URLs exceeding maxDepth, includes test cases, and references a related issue (ENG-2617). The description also has a checklist for reviewers and a Mermaid diagram explaining the flow, which is a good sign of thoroughness. The notes mention that the validation relies on an existing function `getURLDepth()`, and there was a CI fix related to checking the correct error fields. The PR was generated by Devin AI for a specific user, with a link to the session. The description is long and detailed, which is a positive signal.

Looking at the metadata: the language is TypeScript, AGPL-3.0 license, agent Devin, task type feat (feature). The repo has high stars and forks, indicating it's a popular project. The PR has 93 additions and 43 deletions across 3 files, with 4 commits. Related issues are 0, but the description mentions ENG-2617, which might be an internal issue tracker. The description length is over 4000 characters, which is extensive. It touches tests (true), which is good. The metadata doesn't indicate experimental or empty descriptions, which is positive.

Now the diff text shows changes in test files adding new test cases for URL depth validation. The main code changes are in adding a refine validation to the schema, using getURLDepth, and adjusting test assertions. The tests check for 400 errors when depth exceeds maxDepth, and acceptance when it's equal or less. The diff also shows refactoring tests to use existing functions, which aligns with the description's mention of removing duplicate code. The code seems to address the problem stated in the description.

Considering the rejection signals:

1. **Text signals**: The title matches the diff scope (adding validation). The description is clear and explains the changes, their purpose, and testing. No vague or experimental language here.

2. **Metadata signals**: No experimental or empty description flags. The related issues are 0, but the description references an issue number (ENG-2617), which might be tracked elsewhere. File entropy is 0.0, indicating focused changes. Touches tests is true, which is good. The task type is feat, which is appropriate for a new feature.

3. **Diff signals**: The diff shows targeted changes with tests added. The validation logic is in the schema, which is logical. The tests cover multiple scenarios (exceeding, equal, under maxDepth), and edge cases are mentioned in the description's checklist. No sign of large diffs without tests here since the additions include tests. The code changes look relevant and not duplicated.

Potential issues: The description mentions that the validation relies on `getURLDepth()` function's accuracy. If that function has bugs, this could be a problem, but the PR includes tests that should catch some issues. The reviewer checklist asks to manually verify the URL depth calculation, which is a good point but requires manual testing. However, since the tests are present and the PR includes test coverage, this might be mitigated.

No signs of config-only changes or trivial changes. The diff is not truncated in the provided text, and the changes seem well-scoped. The description's length and detail suggest thoroughness, reducing the chance of being experimental or vague.

The metadata's 'Has plan: True' indicates the author provided a plan, which is positive. The PR has comprehensive testing and addresses a specific issue, which aligns with acceptance criteria.

Possible minor concerns: The related issues count is 0, but if ENG-2617 is an internal ticket, maybe that's acceptable. The submission hour and day don't seem relevant here.

Overall, the PR seems well-structured, with clear intent, proper testing, and necessary code changes. The signals point towards acceptance. The rejection probability should be low.
"
3204995137,0,accepted,0.1472,0,"Okay, let me walk through this analysis step by step. The user provided a PR titled ""🎯 实现统一项目工作目录：@project://.promptx/cwd"" with a detailed description, metadata, and diff. My task is to determine the rejection probability and predict if it'll be accepted or rejected based on the given guidelines.

First, looking at the title and description. The title clearly states the feature, which is implementing a unified project working directory. The description is extensive, explaining the core functionality, design rationale, technical implementation, and testing. There's no vague or experimental language here. The user mentions specific changes like new methods and updates to existing functions, which is good. The testing section lists several checks that passed, which is a positive sign.

Next, checking the metadata. The task type is ""feat"" which aligns with the feature description. The description length is sufficient, and there's no indication of being empty. The metadata shows that it touches tests, but the description mentions testing was done. The file entropy is 0.0, indicating a single file change, which is manageable. The agent is Claude_Code, but there's no flag for experimental or empty description. That's a good sign.

Now, looking at the diff. The changes are focused on modifying the ToolSandbox class. They added resolveProtocolPath to handle protocol paths, updated createSandbox to use this new method, and adjusted paths in analyzeToolInSandbox and createExecutionSandbox. The diff seems targeted and well-structured. The code includes error handling for path resolution and ensures directories are created if they don't exist. There's a mention of backward compatibility, which is important. The changes don't seem to introduce obvious bugs, but I need to check for any red flags.

Rejection signals: The PR has a clear description, touches tests (though metadata says Touches tests: False, but the description mentions tests were done), and the diff isn't too large (additions/deletions are moderate). The metadata shows Related issues: 0, but the PR doesn't reference any, which isn't a problem if it's a new feature. The agent isn't marked experimental, and the submission hour isn't a concern. 

Potential issues: The metadata says Touches tests: False, but the description does mention testing. Maybe the test files weren't included in the diff? If the tests aren't part of the PR, that could be a minor concern. However, the user's testing section details successful tests, so maybe they are part of existing tests or not included in the diff. Since the description emphasizes testing, I'll consider that as sufficient.

Another point: The diff includes async functions (like resolveProtocolPath), which is okay if the context supports it. The code adds error handling, which is good. The method names and comments are clear, indicating proper documentation. The changes are well-explained in the description, showing intent and design choices.

Considering all factors: The PR has a clear purpose, good documentation, touches a single file with focused changes, includes testing, and no obvious red flags like large diffs without tests or vague descriptions. The rejection probability should be low. The metadata's Touches tests being False might slightly increase it, but the description's testing section mitigates that. 

Therefore, I'd estimate a low rejection probability, maybe around 0.15 to 0.2. Since the prediction needs to be below 0.5 to accept, this PR should be accepted.
"
3222235753,0,accepted,0.3214,0,"Okay, let's tackle this PR evaluation step by step. First, I'll look at the title and description to understand the changes. The title mentions restricting the ""highest_value"" sort to open tickets only, aiming to fix an infinite loading issue with closed tickets. The description details the problem's root cause and the solution across three files. The user also provided a detailed test plan and diagrams, which is good.

Next, checking the metadata. The task type is ""fix,"" which aligns with the described issue. The PR has 14 additions and 8 deletions across three files, which seems manageable. The metadata mentions that the description is lengthy (3554 characters), but the details are thorough. The PR touches tests, which is positive, and there's no mention of experimental flags. The submission hour and day don't seem problematic.

Looking at the diff, the changes are in TypeScript and involve backend (TRPC router), frontend (sort options UI), and search logic. The code changes look targeted. The TRPC router adjusts the defaultSort conditionally based on whether the status includes ""open."" The frontend hides the ""highest_value"" option when viewing closed tickets. The search logic adds checks to prevent expensive sorting on closed tickets.

Potential red flags: The note mentions that the changes are untested due to Docker/Redis issues. That's a concern because untested code might have hidden bugs. The PR has related issues set to 0, which might mean there's no corresponding issue tracked, but the description references a Slack thread, so maybe it's tracked there but not linked. Also, the user included a detailed test plan, which is good, but if they couldn't test it locally, that's a risk.

The description is very detailed, including a Mermaid diagram and a checklist for reviewers. This shows thoroughness, which is positive. The problem and solution are clearly explained, which helps reviewers understand the changes. The fact that the PR addresses a specific performance issue (infinite loading) is a strong point.

However, the untested status is a major concern. If the code hasn't been tested locally or via CI (though metadata says Touches tests: True, maybe unit tests exist?), there's a higher chance of merge issues. The PR also mentions that the backend prevents expensive sorting for closed tickets, which is good for performance but needs to be verified.

The diff shows that in the TRPC router, the defaultSort is conditionally set based on the presence of ""open"" in the status. In the frontend, the sort options are conditionally rendered. The search logic adjusts the orderBy clause and checks if it's closed tickets only. These changes seem logically sound but need testing.

Considering all factors: the problem is well-explained, the solution is targeted, but the lack of testing might lead to rejection. However, the detailed test plan and clear documentation could mitigate that risk. The metadata doesn't flag experimental or empty description issues, and the diff isn't overly large. The fact that it touches tests is positive, so maybe the test coverage is there.

The rejection probability should be moderate. Since the user couldn't test locally, but the changes are specific and the problem is critical (infinite loading), the team might accept it with the expectation that tests pass in CI. But if the PR is missing tests, that's a problem. The metadata says ""Touches tests: True,"" so maybe tests were added or adjusted. 

Weighing all factors, the rejection probability might be around 0.4, but given the untested note, it's higher. Wait, the example PRs had similar situations where untested code led to rejection. Since the user couldn't test due to Docker issues, but the PR has test touches, maybe the tests are there. The description includes a test plan, so maybe the author expects reviewers to test. 

Alternatively, if the tests are insufficient, the probability goes up. Since the problem is critical and the solution is well-explained, maybe the probability is lower. Let me think again. The rejection signals include untested code and missing related issues, but the description's thoroughness might offset that. 

Hmm, the metadata says ""Touches tests: True,"" so maybe tests were added. The diff shows changes in the search logic, so perhaps there are unit tests. The main risk is the untested locally part, but if CI passes, it might be okay. The description's length and clarity are positive. 

The rejection probability might be around 0.3, but the example where a similar case had 0.2245 when tests were touched and description was good. However, the note about untested code might push it higher. Let me see previous examples. In the first example with a CVE fix, even though the diff was large, it was accepted. Here, the issue is critical (infinite loading), and the solution is targeted. The untested part is a red flag but maybe acceptable if tests are present. 

Given all that, I'll estimate a lower rejection probability, maybe 0.3. Since the user provided a detailed test plan and the problem is critical, the team might proceed. But if the PR is missing tests, that's a problem. Since metadata says Touches tests: True, it's okay. So the probability is low, leading to accepted.
"
3213091409,0,rejected,0.6782,1,"Alright, let's tackle this PR evaluation. The title says ""Fix WebViewSample package conditions,"" which immediately makes me think the change is about correcting some package references based on architecture conditions. The description mentions quoting the architecture strings in the package reference conditions. That seems straightforward—maybe they had unquoted strings like x86_64 without quotes, and now they're adding quotes.

Looking at the metadata: the task type is a fix, which aligns with the title. The PR has 3 additions and 3 deletions, which is a small change. The description is short but clear, explaining the fix. However, the testing section mentions that some commands fail. Specifically, `dotnet test` gives an invalid argument error and `./build.sh` fails to download dependencies. That's a red flag because if the tests aren't passing, the PR might be incomplete or have issues. 

The metadata also says Touches tests: True, which is good, but the test commands are failing. The user might not have tested it properly, or maybe the environment is misconfigured. Since the PR is labeled as a fix, failing tests could indicate that the fix doesn't work or introduces new problems. 

The diff shows that they're adding quotes around the architecture strings in the conditions. That makes sense because in MSBuild conditions, string comparisons often require quotes. If those were missing, the conditions might not evaluate correctly, leading to incorrect package references. The change itself looks correct, but the fact that tests are failing is concerning. 

The agent here is OpenAI_Codex, which might have generated the PR. The description includes a link to a chatgpt task, which might be part of their workflow, but that's not directly relevant to the PR's quality. 

The rejection signals here are the failed tests and the potential that the test environment isn't set up correctly. Even though the code change is small and seems correct, without passing tests, there's uncertainty. The PR's author might not have verified the fix properly. 

On the other hand, the description clearly states the problem and solution, the metadata doesn't show any experimental flags, and the diff is minimal. The fact that they're touching tests but the tests fail could be a sign of a deeper issue. Since the task is a fix, the absence of test validation lowers confidence. 

So, balancing the clear code fix with the failed tests, I think there's a moderate chance of rejection. The PR might need more testing or fixing the test setup. But since the core change is straightforward and the metadata isn't showing other red flags like no tests touched or large code changes, maybe it's still on the lower side of rejection probability. However, the test failures are significant, so I'll lean towards a higher probability.
"
3225245522,1,accepted,0.1973,0,"Alright, let's analyze this pull request step by step. The title mentions adding helper extensions for the Dock API, which sounds like a legitimate improvement. The description explains that they're adding methods like AddAndActivate and CloseActiveDockable, along with documentation updates. The metadata shows it's a feature addition with no deletions, which is a good sign. The diff includes new code in FactoryUserExtensions with proper error checks and method implementations. Testing mentions some build and test commands, though one test fails with invalid arguments. The rejection probability here is low because the changes are focused, have clear intent, and the test failure might be a minor issue. The PR seems acceptable unless the test failure is critical, but since the task says to use submission-time info, I'll go with accepted.
"
3206197492,0,accepted,0.1234,0,"Okay, let's analyze this PR step by step. The title mentions migrating from @parcel/watcher to chokidar to fix a double build issue on Windows. The problem described is that the existing watcher emits duplicate events, causing unnecessary rebuilds. The solution is replacing the dependency, which seems reasonable.

Looking at the description, the user provided a clear explanation of the problem, solution, changes made, and verification steps. They mention that all tests pass, code coverage is maintained, and there are no breaking changes. The PR also references an issue (#611), which is good. The metadata shows that the task type is a fix, which aligns with the problem statement. The additions and deletions are significant but not excessively large, and the touches tests flag is true, indicating tests were involved.

The diff shows changes in dependencies, implementation using chokidar's API, and updates to tests. The code seems to handle events correctly, mapping chokidar events to the expected types. There's also error handling for the watcher. The test file mocks chokidar's behavior, which is appropriate for testing.

Possible concerns: The description mentions that the fix resolves an existing issue, which is positive. The metadata includes Related issues: 1, which is good. The rejection signals to watch for include vague descriptions, but the description here is detailed. The diff isn't truncated in a way that hides problems, and the test coverage seems maintained. Since the problem is specific to Windows and the fix is well-explained, the probability of rejection should be low. However, sometimes dependency changes can introduce other issues, but the verification steps and test results mitigate that risk. 

Considering all factors, the PR addresses a concrete issue with a clear solution, includes tests, and the metadata doesn't show any red flags like experimental flags or missing tests. The rejection probability should be low, so I'd classify it as accepted.
"
3203043702,0,rejected,0.9125,1,"Okay, let's evaluate this PR step by step. The title mentions trying to implement nightly app publishing, which suggests automating the release process. The description says that the changes were generated by Cursor, a background composer. The key part of the metadata shows that the task type is ""ci"" and there's a change in the workflow file.

Looking at the diff, the main change is removing a condition from the publish-nightly job in the workflow. Previously, the job ran only if it was a workflow dispatch or the previous workflow run was successful. Now, the condition is modified to run whenever there's a push to main, regardless of the previous workflow's success. This could lead to publishing even if tests failed, which might be risky. 

The metadata indicates that the PR touches CI configurations, which is a strong signal here. Since the change removes a safeguard that ensures the job only runs on successful workflows, it might introduce instability. The description mentions that the job will now run unconditionally, which could result in broken builds being published. 

Additionally, the description is auto-generated and mentions that Ellipsis created the summary, but there's no explicit testing mentioned. The PR has no related issues, which might mean there's no prior discussion or requirement backing this change. The small diff size (2 additions, 3 deletions) might seem minor, but altering CI conditions can have major impacts. 

Considering the metadata flags: Touches CI is False, but the actual diff shows a workflow file change. Maybe there's an error in the metadata. Since the PR is about CI/CD configuration, but the metadata says Touches CI: False, that might be a mistake. However, regardless, the core issue is the removal of a critical condition in the workflow. 

The rejection signals here include altering CI configurations in a way that could bypass quality checks. The PR's description doesn't mention any tests or validations ensuring that this change won't break the build process. Without proper safeguards, this could lead to unstable releases, hence the high rejection probability.
"
3225229319,1,rejected,0.6342,1,"Okay, let's analyze this PR step by step. The title mentions introducing a basic MDI window sample, which sounds like a feature addition. The description says they added MDI child windows with a new MdiHostWindow, exposed theme resources, and a new sample showing docking with MDI in XAML. The metadata shows it's a feature task, with 547 additions and no deletions across 12 files. The description isn't empty, and the agent is OpenAI_Codex.

Looking at the diff, there are several new files added, like the App.xaml, App.cs, project file, and a MainView.xaml. The changes seem to be adding a new sample application, which is a common contribution. The test command listed is `git status --short`, which is odd because that's not a real test. That's a red flag. Proper testing should involve running tests, but here they're just checking the git status, which might indicate missing tests.

The metadata mentions Touches tests: True, but the test command doesn't look valid. Also, the PR has no related issues, which might mean it's not addressing any existing problem reported. The submission hour is 11 on a Saturday, which might not be an issue, but the test setup is concerning. 

The diff shows a lot of XAML and C# code for a sample, which is good for documentation, but without proper tests, maintainers might be hesitant. The addition of new features without existing issue links could be another point against it. The rejection probability might be moderate here. But since it's a sample and the code seems structured, maybe the probability isn't too high. Wait, but the test command is suspicious. If there are no actual tests, that's a problem. The absence of tests combined with no related issues might push it towards rejection. However, the PR is a sample, so maybe tests aren't as critical. But the system's guidelines say that if tests are absent for a large change, that's a signal. Since the PR has 547 additions, and the test is just a git status, that's a weak signal. 

The metadata's Touches tests: True might be misleading if the actual tests aren't there. The description mentions ""Testing"" but the command isn't valid. So maybe the PR lacks proper testing. That could lead to a higher rejection probability. But samples sometimes don't have tests. Hmm. 

Considering all factors: the PR adds a sample with proper code structure, but the testing part is lacking. The absence of related issues and possibly no real tests might make maintainers cautious. The rejection probability is probably moderate but above 0.5. Wait, but the user's previous examples had some PRs accepted even with no tests if the change is small. Here, it's a new feature sample with many files, so maybe the lack of tests is a bigger issue. 

The rejection signals include large diffs without tests. The additions are 547 lines, which is significant. The ""Testing"" section in the description is invalid. So combining that with no related issues, the probability might be over 0.5. Let me check the metadata again. Touches tests: True. Maybe the sample includes test files? The diff shows new files but not test files. The project file includes references but not tests. So maybe the tests are missing. 

Therefore, the rejection probability is likely higher. Maybe around 0.6 or so. But the user's previous similar PRs had varying outcomes. For example, the Sentry upgrade had no tests but was accepted. But this one's testing section is invalid, which might be worse. So I think this would be rejected.
"
